
This is the output of dieharder on 1 gigabyte of data generated with this code from a random key.

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                chachaoutput.bin|  1.67e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.31907378|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.80338513|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.48059641|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.44211413|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.49528885|  PASSED  
        diehard_opso|   0|   2097152|     100|0.56823387|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.67595767|  PASSED  
         diehard_dna|   0|   2097152|     100|0.34301029|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.34400727|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.66300257|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.32158978|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.06881560|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.49089399|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.35547814|  PASSED  
        diehard_sums|   0|       100|     100|0.13824019|  PASSED  
        diehard_runs|   0|    100000|     100|0.52639860|  PASSED  
        diehard_runs|   0|    100000|     100|0.26389625|  PASSED  
       diehard_craps|   0|    200000|     100|0.25582431|  PASSED  
       diehard_craps|   0|    200000|     100|0.41781390|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.91913286|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94089400|  PASSED  
         sts_monobit|   1|    100000|     100|0.08302289|  PASSED  
            sts_runs|   2|    100000|     100|0.96201015|  PASSED
